nohup: ignoring input
2016-12-11 15:56:22.109+0000 INFO  No SSL certificate found, generating a self-signed certificate..
2016-12-11 15:56:23.379+0000 INFO  Starting...
2016-12-11 15:56:25.931+0000 INFO  Bolt enabled on localhost:7687.
2016-12-11 15:56:31.810+0000 INFO  Started.
2016-12-11 15:56:34.005+0000 INFO  Remote interface available at http://localhost:7474/
2016-12-11 15:58:36.166+0000 WARN  Failed authentication attempt for 'neo4j' from 127.0.0.1
2016-12-11 16:49:23.226+0000 INFO  Neo4j Server shutdown initiated by request
2016-12-11 16:49:23.270+0000 INFO  Stopping...
2016-12-11 16:49:23.861+0000 INFO  Stopped.
nohup: ignoring input
2016-12-11 16:49:38.098+0000 INFO  Starting...
2016-12-11 16:49:38.858+0000 INFO  Bolt enabled on localhost:7687.
2016-12-11 16:49:43.634+0000 INFO  Started.
2016-12-11 16:49:46.075+0000 INFO  Remote interface available at http://localhost:7474/
2016-12-11 16:50:14.785+0000 INFO  Neo4j Server shutdown initiated by request
2016-12-11 16:50:14.809+0000 INFO  Stopping...
2016-12-11 16:50:15.242+0000 INFO  Stopped.
nohup: ignoring input
2016-12-11 16:54:42.653+0000 INFO  Starting...
2016-12-11 16:54:43.395+0000 INFO  Bolt enabled on localhost:7687.
2016-12-11 16:54:47.452+0000 INFO  Started.
2016-12-11 16:54:49.211+0000 INFO  Remote interface available at http://localhost:7474/
2016-12-11 17:00:37.216+0000 INFO  Neo4j Server shutdown initiated by request
2016-12-11 17:00:37.231+0000 INFO  Stopping...
2016-12-11 17:00:38.355+0000 INFO  Stopped.
nohup: ignoring input
2016-12-11 17:02:02.650+0000 INFO  Starting...
2016-12-11 17:02:03.407+0000 INFO  Bolt enabled on localhost:7687.
2016-12-11 17:02:08.283+0000 INFO  Started.
2016-12-11 17:02:10.431+0000 INFO  Remote interface available at http://0.0.0.0:7474/
2016-12-11 21:06:37.752+0000 INFO  Neo4j Server shutdown initiated by request
2016-12-11 21:06:37.840+0000 INFO  Stopping...
2016-12-11 21:06:38.245+0000 INFO  Stopped.
nohup: ignoring input
2016-12-12 16:41:01.196+0000 INFO  Starting...
2016-12-12 16:41:04.145+0000 INFO  Bolt enabled on localhost:7687.
2016-12-12 16:41:14.450+0000 INFO  Started.
2016-12-12 16:41:17.109+0000 INFO  Remote interface available at http://0.0.0.0:7474/
2016-12-12 16:46:01.026+0000 INFO  Neo4j Server shutdown initiated by request
2016-12-12 16:46:01.084+0000 INFO  Stopping...
2016-12-12 16:46:01.618+0000 INFO  Stopped.
